redirect_clients,type,value
8,throughput,20.0919810894274
8,read_latency,33322.61232604374
8,update_latency,65937.77183098592
8,throughput,19.624158123616496
8,read_latency,35404.535526846994
8,update_latency,65649.7070947285
8,throughput,19.85975044237594
8,read_latency,34760.863474475664
8,update_latency,66020.06389001213
8,throughput,20.556463466025306
8,read_latency,32289.457536945814
8,update_latency,65138.63553299492
8,throughput,19.817677368212447
8,read_latency,35503.248001598724
8,update_latency,65014.78983186549
8,throughput,19.978543044769918
8,read_latency,33813.91399762752
8,update_latency,66207.09429380817
8,throughput,19.727523446161616
8,read_latency,35570.40438995452
8,update_latency,65613.09751163262
8,throughput,19.78474200696423
8,read_latency,34327.05397390273
8,update_latency,66800.69182517199
8,throughput,21.17567338641369
8,read_latency,31247.681954736632
8,update_latency,62812.99201118434
8,throughput,19.7912028103508
8,read_latency,34320.6573777065
8,update_latency,66263.29150039905
8,throughput,19.88897971522959
8,read_latency,34453.86848436247
8,update_latency,65557.1474461293
8,throughput,20.33987938451525
8,read_latency,33759.771158019335
8,update_latency,64584.51368890692
8,throughput,21.33560913164071
8,read_latency,30551.79274403688
8,update_latency,62802.57313909399
8,throughput,19.731260235591247
8,read_latency,35185.60391295668
8,update_latency,66034.1927469445
2,throughput,52.81451173776116
2,read_latency,13392.595908183634
2,update_latency,24458.897955911823
2,throughput,47.22429746773872
2,read_latency,15907.661284521002
2,update_latency,26421.45193962929
2,throughput,48.237312139787875
2,read_latency,15507.8752541562
2,update_latency,25967.02082915279
2,throughput,47.07772108050902
2,read_latency,16220.741415599254
2,update_latency,26216.496537824518
2,throughput,49.07337205222388
2,read_latency,15022.30764612891
2,update_latency,25704.040098346894
2,throughput,47.113452963813096
2,read_latency,15945.09071044824
2,update_latency,26456.049964083326
2,throughput,46.510048728578056
2,read_latency,17156.09921237806
2,update_latency,25828.181307027375
2,throughput,46.87869902234473
2,read_latency,16171.763844761714
2,update_latency,26409.40885219813
2,throughput,53.39082457323379
2,read_latency,13284.133754293998
2,update_latency,24226.531054211406
2,throughput,47.44857167937102
2,read_latency,15813.958022219998
2,update_latency,26300.975162353883
2,throughput,46.468833353469826
2,read_latency,17049.148252140953
2,update_latency,25951.079937772993
2,throughput,47.335418300724754
2,read_latency,15690.960201290014
2,update_latency,26547.426276465758
2,throughput,46.51353171664701
2,read_latency,16940.868477369546
2,update_latency,26036.786544269115
2,throughput,46.8583579613053
2,read_latency,16086.60532181946
2,update_latency,26522.84093217807
2,throughput,48.13619076179854
2,read_latency,15637.209745889388
2,update_latency,25921.273236327146
2,throughput,46.885424681143945
2,read_latency,16337.265108540962
2,update_latency,26268.662469318115
2,throughput,47.354202330300296
2,read_latency,15879.245763220553
2,update_latency,26317.02193078907
2,throughput,46.479935076826685
2,read_latency,16899.397370576833
2,update_latency,26114.100758743567
2,throughput,53.31087168606294
2,read_latency,13073.663094427307
2,update_latency,24395.696693158672
2,throughput,47.01614393334239
2,read_latency,16040.137396177324
2,update_latency,26459.308823823325
2,throughput,46.48183629283185
2,read_latency,16904.318767865352
2,update_latency,26102.395073339605
2,throughput,54.20459633295065
2,read_latency,13114.853211374822
2,update_latency,23803.769545755636
2,throughput,48.17306075730942
