fieldlength,read-latency1,read-latency2,read-latency3,read-latency4,update-latency1,update-latency2,update-latency3,update-latency4,throughput1,throughput2,throughput3,throughput4
1,1452.0949075926073,1454.6867916259985,1440.9168529458725,1432.3163524401702,1539.3416126709863,1534.6663051991084,1547.5979437229437,1504.8214592961606,665.1280038843475,665.6725955905847,665.7567990413102,677.3278063384336
4,1612.7151930336136,1728.2251690067603,1732.6881584492205,1716.0241609401453,1668.4868318279225,1835.9107635694572,1837.4645284748938,1821.3220002008234,606.4244607370483,558.1447269276923,557.2707109659731,562.5309392016561
16,1575.7825261727803,1731.273326278378,1712.334796663607,1684.9172858544791,1662.771442299992,1795.861670372819,1809.4524716353285,1807.691226107971,614.2543873119614,564.1271542605704,564.8823914860926,569.5701454112581
64,1565.734159256669,1714.6854996995794,1717.292853143497,1716.5037626916185,1608.9192673406064,1827.4438386259237,1827.2175548087694,1820.219750853928,626.5036086607859,561.4886186257005,561.3467832022588,562.6448810568721
256,1532.927121145638,1694.2287794330603,1696.6751619093309,1700.5379184467577,1590.7159560386667,1788.1208332493093,1795.7006323541184,1778.813692838482,636.5777579731364,571.1903034734082,569.4144710993685,571.5232810008516
1024,1498.405118126028,1709.1952084293184,1722.52985655288,1717.2656109949207,1590.2811839323467,1835.2260029153936,1849.686348417106,1820.6478160457877,643.7616279444047,560.9877872958706,556.628611823905,562.1988722290623
4096,1445.2700028102292,1722.353183039833,1749.8389242859728,1712.1032667225081,1560.1367621856443,1917.4230585138207,1894.1575218421,1910.3206105339164,660.8861161044729,546.1645593817417,545.2889758927744,548.6817919947326
16384,1362.975378486056,1350.4081217869525,1363.5391443422632,1361.9800716300847,1701.0075502008033,1702.4427470189103,1684.7097839135654,1682.1297854900943,650.0091001274018,652.4178605913515,653.0399007379351,653.885386969372
