field_length,throughput0,throughput1,throughput2,throughput3,update_latency0,update_latency1,update_latency2,update_latency3,read_latency0,read_latency1,read_latency2,read_latency3
1,34065.746891500596,33791.77508194505,34293.55281207133,30805.249214466145,28.761788002259642,28.892379304267013,28.602665016303348,31.761749492019156,27.462624249709467,27.75066702880606,27.357753696706318,30.57455919950189
8,30245.289296192117,32297.65519023319,30039.050765995795,32014.342425406583,31.630363465944594,30.521791433146518,32.78769595895318,30.287302514920206,31.223652675475737,28.947783772981616,31.40131486893287,29.463656858708642
256,29996.700362960073,27212.36529879177,28443.028613686787,29365.125976390438,29.813055767975754,32.58512267791797,31.13525311160234,30.511573508990278,34.50015985101885,38.5439939189054,36.45122823323912,35.31345479551733
1024,22637.750713089146,22560.122727067635,22730.372323498657,23384.701728129457,36.133751953538756,36.09698688323298,35.720573992251786,35.13581182397985,50.00753763815334,50.272119579240446,49.97646880097227,48.11168197187044
4096,8545.547769612032,8710.042679209128,8737.51627362406,8608.296676336653,115.26145804610792,114.4634923359755,113.86557041768727,114.88232047623714,116.29526427264464,112.89347985964575,112.88899771335369,115.0726946488689
16384,1625.9766021966943,1625.1072570789672,1628.2879203832338,1631.3240315237056,948.9825156659633,950.0469032807125,946.7454854671612,946.4189061631316,277.707139597079,277.42642329978895,278.63240568756805,277.1297118581012
65536,663.8960073294119,665.8454572693678,664.7565993711403,667.9268219373886,2158.5131679007404,2149.166750015003,2162.301797103775,2150.7997212266027,849.3213072156706,849.7823591753485,845.5113876590483,833.1071514664524
262144,97.08662456990625,96.79858054561488,98.80749237453178,96.42355396006715,16627.763022597745,16705.35178047173,16296.10718915146,16775.745711200863,3920.398671029651,3931.459875801282,3903.83012357567,3955.99931971428
1048576,9.238648518758245,9.244984318657599,9.33039575153492,9.244897140349927,205594.21937064483,204343.44777371606,203360.69682068162,204386.43752371444,11664.09522102034,11743.18887308994,11664.835170310726,11649.236433565033
